STATISTIC Label,Month,Consumer Item,UNIT,VALUE
National Average Price,2011 December,"White, self raising flour per 2 kg",Euro,
National Average Price,2011 December,"Brown, wholemeal flour per 2 kg",Euro,
National Average Price,2011 December,"Bread, white sliced pan, large (800g)",Euro,
National Average Price,2011 December,"Bread, brown sliced pan, large (800g)",Euro,
National Average Price,2011 December,Spaghetti per 500g,Euro,
National Average Price,2011 December,Sirloin steak per kg,Euro,
National Average Price,2011 December,Striploin steak per kg,Euro,
National Average Price,2011 December,Roast beef - topside or rib per kg,Euro,
National Average Price,2011 December,Sliced / diced beef pieces per kg,Euro,
National Average Price,2011 December,Pork loin chops per kg,Euro,
National Average Price,2011 December,Pork steak per kg,Euro,
National Average Price,2011 December,Lamb - whole leg / half leg per kg,Euro,
National Average Price,2011 December,Lamb loin chops per kg,Euro,
National Average Price,2011 December,Lamb gigot chops per kg,Euro,
National Average Price,2011 December,Uncooked chicken medium size 1.6kg,Euro,
National Average Price,2011 December,Lamb's liver per kg,Euro,
National Average Price,2011 December,Ham fillet per kg,Euro,
National Average Price,2011 December,Cooked ham per kg,Euro,
National Average Price,2011 December,Best back rashers per kg,Euro,
National Average Price,2011 December,Pork sausages per kg,Euro,
National Average Price,2011 December,Fresh fillet of whiting per kg,Euro,
National Average Price,2011 December,Fresh fillet of cod per kg,Euro,
National Average Price,2011 December,Fresh salmon per kg,Euro,
National Average Price,2011 December,Fresh fillet of plaice per kg,Euro,
National Average Price,2011 December,Fresh hake per kg,Euro,
National Average Price,2011 December,Smoked salmon per kg,Euro,
National Average Price,2011 December,Full fat milk per 2 litre,Euro,
National Average Price,2011 December,Low fat milk per 1 litre,Euro,
National Average Price,2011 December,Irish cheddar per kg,Euro,
National Average Price,2011 December,Large eggs per half dozen,Euro,
National Average Price,2011 December,Medium eggs per half dozen,Euro,
National Average Price,2011 December,Butter per lb,Euro,
National Average Price,2011 December,Grapes per kg,Euro,
National Average Price,2011 December,Bananas per kg,Euro,
National Average Price,2011 December,Tomatoes per kg,Euro,
National Average Price,2011 December,Onions per kg,Euro,
National Average Price,2011 December,Broccoli per kg,Euro,
National Average Price,2011 December,Carrots per kg,Euro,
National Average Price,2011 December,Mushrooms per kg,Euro,
National Average Price,2011 December,Tomatoes tinned per 400g,Euro,
National Average Price,2011 December,Potatoes 2.5 kg,Euro,
National Average Price,2011 December,Potatoes 7.5 kg,Euro,
National Average Price,2011 December,Potatoes 10 kg,Euro,
National Average Price,2011 December,White granulated sugar per 1 kg,Euro,
National Average Price,2011 December,Jam per lb,Euro,
National Average Price,2011 December,Marmalade per lb,Euro,
National Average Price,2011 December,Tea bags per 80,Euro,
National Average Price,2011 December,Orange juice per litre,Euro,
National Average Price,2011 December,Whiskey - take home (70cl bottle),Euro,
National Average Price,2011 December,Brandy - take home (70cl bottle),Euro,
National Average Price,2011 December,Vodka - take home (70cl bottle),Euro,
National Average Price,2011 December,Cream liqueur - take home (70cl bottle),Euro,
National Average Price,2011 December,Wine - take home (75cl bottle),Euro,
National Average Price,2011 December,Cider - take home (50cl can),Euro,
National Average Price,2011 December,Sherry - take home (75cl bottle),Euro,
National Average Price,2011 December,Lager - take home (50cl can),Euro,
National Average Price,2011 December,Stout - take home (50cl can),Euro,
National Average Price,2011 December,Filtered cigarettes per 20 pk,Euro,
National Average Price,2011 December,Stout - draught bar (1 pint),Euro,
National Average Price,2011 December,Lager - draught bar (1 pint),Euro,
National Average Price,2011 December,Lager - bar (33cl bottle),Euro,
National Average Price,2011 December,Cider - draught bar (1 pint),Euro,
National Average Price,2011 December,Ale - draught bar (1 pint),Euro,
National Average Price,2011 December,Cider - bar (33cl bottle),Euro,
National Average Price,2011 December,Flavoured alcoholic drink - bar (275ml bottle),Euro,
National Average Price,2011 December,Whiskey - bar (single) per ½ glass,Euro,
National Average Price,2011 December,Brandy - bar (single) per ½ glass,Euro,
National Average Price,2011 December,Vodka - bar (single) per ½ glass,Euro,
National Average Price,2011 December,Wine - bar (187ml bottle),Euro,
National Average Price,2011 December,Diesel per litre,Euro,
National Average Price,2011 December,Petrol - unleaded per litre,Euro,
National Average Price,2011 December,Cinema fee,Euro,
National Average Price,2011 December,Nightclubs fee,Euro,
National Average Price,2011 December,Gent's dry cut fee,Euro,
National Average Price,2011 December,"Gent's wash, cut, and blow dry fee",Euro,
National Average Price,2011 December,"Ladies' wash, cut and blow dry fee",Euro,
National Average Price,2012 January,"White, self raising flour per 2 kg",Euro,2.13
National Average Price,2012 January,"Brown, wholemeal flour per 2 kg",Euro,2.495
National Average Price,2012 January,"Bread, white sliced pan, large (800g)",Euro,1.276
National Average Price,2012 January,"Bread, brown sliced pan, large (800g)",Euro,1.539
National Average Price,2012 January,Spaghetti per 500g,Euro,1.202
National Average Price,2012 January,Sirloin steak per kg,Euro,15.093
National Average Price,2012 January,Striploin steak per kg,Euro,20.922
National Average Price,2012 January,Roast beef - topside or rib per kg,Euro,11.259
National Average Price,2012 January,Sliced / diced beef pieces per kg,Euro,9.706
National Average Price,2012 January,Pork loin chops per kg,Euro,8.399
National Average Price,2012 January,Pork steak per kg,Euro,9.34
National Average Price,2012 January,Lamb - whole leg / half leg per kg,Euro,12.527
National Average Price,2012 January,Lamb loin chops per kg,Euro,18.601
National Average Price,2012 January,Lamb gigot chops per kg,Euro,13.138
National Average Price,2012 January,Uncooked chicken medium size 1.6kg,Euro,5.361
National Average Price,2012 January,Lamb's liver per kg,Euro,5.626
National Average Price,2012 January,Ham fillet per kg,Euro,6.231
National Average Price,2012 January,Cooked ham per kg,Euro,16.341
National Average Price,2012 January,Best back rashers per kg,Euro,10.349
National Average Price,2012 January,Pork sausages per kg,Euro,5.431
